chrom	window_start	window_end	cMperMb	n_EUR	mean_2pq_EUR	n_AFR	mean_2pq_AFR	n_EAS	mean_2pq_EAS	n_SAS	mean_2pq_SAS	n_AMR	mean_2pq_AMR
chr1	47000000	48000000	0.9009	7103	0.10279	11908	0.08099	6206	0.11781	7565	0.10726	8442	0.09934
chr1	48000000	49000000	0.6780	6527	0.09086	11378	0.07918	5923	0.09713	7167	0.09364	8237	0.07862
chr1	49000000	50000000	0.4135	4610	0.06448	8533	0.04743	4494	0.05707	5774	0.05723	5615	0.05804
chr1	50000000	51000000	0.1752	4864	0.07458	9567	0.05690	4030	0.05769	5680	0.06150	6501	0.05238
chr1	51000000	52000000	0.3145	5931	0.04996	10510	0.05545	4287	0.04377	6671	0.04335	7242	0.03609
chr1	52000000	53000000	0.7570	5970	0.06216	11362	0.06535	5153	0.07740	6555	0.06896	8001	0.05496
chr1	53000000	54000000	1.3320	7315	0.09387	12979	0.08528	6573	0.12666	7643	0.09546	9107	0.08569
chr1	54000000	55000000	1.5270	8124	0.10926	13835	0.08739	7216	0.13992	8739	0.10953	9838	0.09786
chr1	55000000	56000000	1.6213	7577	0.10339	13422	0.07864	7020	0.11029	7871	0.10368	9248	0.08345
chr1	56000000	57000000	1.3764	7617	0.12132	12311	0.09056	6765	0.13351	7755	0.12918	9064	0.10398
chr1	57000000	58000000	1.5445	7113	0.12202	12560	0.08952	6283	0.11212	7766	0.10692	9189	0.09905
chr1	58000000	59000000	1.4708	7289	0.11599	13039	0.08512	6130	0.12782	7803	0.11143	9647	0.09014
chr1	59000000	60000000	1.3855	6396	0.09344	12780	0.07063	5590	0.10213	6831	0.09397	8986	0.07066
chr1	60000000	61000000	1.5508	6801	0.09346	11892	0.06668	5813	0.10899	7298	0.08527	8961	0.07453
chr1	61000000	62000000	1.4493	6584	0.09924	11872	0.07788	5802	0.10870	7076	0.09727	9196	0.07735
chr1	62000000	63000000	1.6349	6815	0.11515	12106	0.08648	5793	0.10908	6979	0.11884	8640	0.09711
chr1	63000000	64000000	1.4032	6528	0.12160	12168	0.09008	5836	0.11886	6971	0.11733	8985	0.08942
chr1	64000000	65000000	1.2820	6435	0.10899	10857	0.09102	5320	0.12360	6598	0.11073	8409	0.09260
chr1	65000000	66000000	1.0776	6330	0.12754	11169	0.08950	5900	0.12678	6786	0.13318	8132	0.11565
chr1	66000000	67000000	1.0302	6478	0.13075	12066	0.08628	5934	0.12773	7022	0.12247	8884	0.09620
chr1	67000000	68000000	1.0418	6390	0.12384	12119	0.08641	5635	0.12801	6732	0.10832	8929	0.09396
chr1	68000000	69000000	0.9790	7046	0.09709	12380	0.08240	5818	0.10417	7274	0.09767	9199	0.08560
chr1	69000000	70000000	0.8841	6556	0.11011	11387	0.07770	5611	0.10776	7034	0.10515	8077	0.08846
chr1	70000000	71000000	0.6483	6086	0.10744	10833	0.07548	5559	0.12446	6554	0.11417	7753	0.08816
chr1	71000000	72000000	0.5126	5650	0.09112	10462	0.06858	4907	0.10294	6006	0.09151	7443	0.07521
chr1	72000000	73000000	0.3662	5597	0.09798	11468	0.07756	5000	0.07599	6029	0.08912	7938	0.07766
chr1	73000000	74000000	0.5631	6451	0.13744	11891	0.08355	5697	0.10762	6953	0.12155	8508	0.10662
chr1	74000000	75000000	0.5509	5714	0.09743	12037	0.06373	5062	0.08047	6032	0.09730	8363	0.07106
chr1	75000000	76000000	0.9500	7023	0.11796	11744	0.08447	5576	0.07714	7075	0.11032	8612	0.10360
chr1	76000000	77000000	0.8358	7103	0.10995	12340	0.08752	5464	0.10820	7227	0.10515	9036	0.08843
chr1	77000000	78000000	0.9440	5915	0.09141	10560	0.06986	4935	0.11712	6472	0.09849	7339	0.07961
chr1	78000000	79000000	0.6224	7115	0.11176	12504	0.08063	5903	0.12356	7399	0.11142	9080	0.08854
chr1	79000000	80000000	0.7282	7448	0.12876	13909	0.08589	6858	0.12574	8222	0.12442	9996	0.09703
chr1	80000000	81000000	1.0026	8174	0.10340	13941	0.09130	7398	0.12188	8847	0.11479	10650	0.08103
chr1	81000000	82000000	1.1225	7663	0.11226	12681	0.07913	6599	0.10198	8051	0.11143	9474	0.09372
chr1	82000000	83000000	1.0470	7226	0.12718	12744	0.08103	6553	0.12481	7845	0.11940	8923	0.10142
chr1	83000000	84000000	1.0670	6955	0.12802	11712	0.08556	6153	0.12264	7852	0.11337	8522	0.10181
chr1	84000000	85000000	0.9955	6618	0.10719	11119	0.08633	5620	0.11286	7226	0.10346	8082	0.09612
chr1	85000000	86000000	0.9392	6478	0.12451	11976	0.07861	5880	0.13630	7299	0.10816	8849	0.09565
chr1	86000000	87000000	1.1630	7018	0.10893	12359	0.08061	6243	0.10496	7970	0.09666	9009	0.08775
chr1	87000000	88000000	1.1014	6336	0.09972	11825	0.07449	5479	0.10963	6723	0.09655	8376	0.08078
chr1	88000000	89000000	1.1864	6452	0.08928	10913	0.08046	5233	0.12470	6635	0.08484	7700	0.07940
chr1	89000000	90000000	0.8099	5911	0.11687	11507	0.07989	5524	0.10597	6538	0.10612	8365	0.08367
chr1	90000000	91000000	0.9359	6192	0.09743	11095	0.07104	5033	0.11679	6503	0.09690	7747	0.08039
chr1	91000000	92000000	0.7342	7614	0.12361	12848	0.08448	6507	0.14483	7655	0.12455	9374	0.10244
chr1	92000000	93000000	0.6004	5845	0.08664	10526	0.06078	4809	0.03352	6120	0.06164	7731	0.06129
chr1	93000000	94000000	0.7533	6317	0.09225	10755	0.08784	5253	0.10648	6708	0.07797	7700	0.08704
chr1	94000000	95000000	0.8765	6762	0.11844	12222	0.08473	6168	0.12670	7128	0.11480	9034	0.09180
chr1	95000000	96000000	0.7784	6487	0.11353	11015	0.07751	5649	0.12349	6984	0.11062	7857	0.09851
chr1	96000000	97000000	0.5358	6595	0.11415	11937	0.07300	5936	0.12913	7211	0.11353	8419	0.09583
chr1	97000000	98000000	0.7209	6269	0.09032	10951	0.06510	5153	0.08590	6773	0.08317	7696	0.07021
chr1	98000000	99000000	0.8807	6875	0.11144	11749	0.07278	5430	0.12276	6940	0.10847	8354	0.08966
chr1	99000000	100000000	0.9047	7127	0.09875	12288	0.08203	5886	0.12331	7385	0.10258	8977	0.08251
chr1	100000000	101000000	1.1348	5927	0.09896	10920	0.08646	5352	0.09456	6395	0.08615	7943	0.07200
chr1	101000000	102000000	0.9540	7793	0.11187	12833	0.08880	6943	0.12191	8153	0.11444	9810	0.09055
chr1	102000000	103000000	0.7850	7567	0.10142	14208	0.08797	6969	0.10823	8233	0.09886	10665	0.06916
chr1	103000000	104000000	0.4323	6253	0.10736	11116	0.07963	5128	0.07485	6489	0.08648	7710	0.08368
chr1	104000000	105000000	0.5275	8727	0.12893	15254	0.09998	7724	0.15210	9909	0.12303	10922	0.11832
chr1	105000000	106000000	0.6605	8277	0.11632	15405	0.08827	7122	0.15925	8588	0.13178	11196	0.09505
chr1	106000000	107000000	1.0358	6931	0.10471	13296	0.08154	6057	0.11135	7385	0.10450	9221	0.08817
chr1	107000000	108000000	1.0220	6575	0.10364	12326	0.07959	5706	0.12050	7182	0.10265	8556	0.08454
chr1	108000000	109000000	1.3680	5991	0.10642	10411	0.08482	5207	0.10368	6428	0.10386	7519	0.09053
chr1	109000000	110000000	1.3138	6579	0.09577	11152	0.08189	5486	0.08792	6800	0.09468	7905	0.07695
chr1	110000000	111000000	1.6321	6323	0.12820	11527	0.08077	5624	0.13162	6952	0.11968	8297	0.09988
chr1	111000000	112000000	1.3676	7237	0.12669	12148	0.09335	6220	0.14390	7393	0.12489	9055	0.10032
chr1	112000000	113000000	1.0636	6542	0.11690	12844	0.08266	5469	0.11008	6935	0.10088	9353	0.08219
chr1	113000000	114000000	0.9994	5514	0.10396	9707	0.05742	4886	0.10478	5970	0.09075	7059	0.08887
chr1	114000000	115000000	1.0742	6412	0.09910	11019	0.06976	5092	0.09319	6854	0.08771	8532	0.07293
chr1	115000000	116000000	1.2948	7200	0.12405	13242	0.08968	6368	0.14419	7557	0.12440	9570	0.10255
chr1	116000000	117000000	1.1560	5777	0.06971	11170	0.08470	5329	0.08861	6448	0.06850	7963	0.06112
chr1	117000000	118000000	0.9113	6441	0.10808	11803	0.07700	5903	0.11511	7245	0.10482	8375	0.08511
chr1	118000000	119000000	0.7552	6400	0.11511	12410	0.07116	6220	0.13746	6952	0.11540	8564	0.09267
chr1	119000000	120000000	0.5177	6745	0.10668	11812	0.08580	6282	0.10126	7148	0.10732	8556	0.08757
chr1	120000000	121000000	0.3923	4852	0.08050	7728	0.07359	4286	0.09145	5302	0.08563	5664	0.07962
chr1	121000000	122000000	0.0811	6376	0.04083	10511	0.03906	5515	0.04644	6717	0.04128	7295	0.04014
chr1	122000000	123000000	0.0292	20759	0.01170	27609	0.01131	19033	0.01232	21833	0.01236	20694	0.01115
chr1	123000000	124000000	0.0000	37910	0.01184	51293	0.01090	35006	0.01223	39820	0.01207	37608	0.01109
chr1	124000000	125000000	0.0035	33698	0.01328	47284	0.01354	31409	0.01458	35788	0.01388	34428	0.01299
chr1	125000000	126000000	0.0053	3778	0.03820	5780	0.03404	3518	0.04361	3995	0.03983	4206	0.03787
chr1	143000000	144000000	0.0522	8177	0.02732	12549	0.02821	7675	0.02938	8807	0.03078	8853	0.02713
chr1	144000000	145000000	0.1169	3126	0.02220	5429	0.04179	2866	0.02257	3635	0.03107	3773	0.01984
chr1	145000000	146000000	0.3526	4958	0.04542	9165	0.04460	4620	0.04412	5790	0.04049	6392	0.03750
chr1	146000000	147000000	0.4111	5708	0.07142	10511	0.06331	5258	0.08556	6384	0.06640	7351	0.06172
chr1	147000000	148000000	0.3488	7781	0.11988	13093	0.08043	6901	0.12072	8853	0.10551	10141	0.09105
chr1	148000000	149000000	0.4993	5813	0.05327	11033	0.05446	5982	0.06094	6989	0.05206	7757	0.04392
chr1	149000000	150000000	0.5143	5317	0.05096	9176	0.04605	4860	0.06876	5999	0.05314	6569	0.04640
chr1	150000000	151000000	0.7568	6336	0.10229	9927	0.08141	5419	0.08764	6411	0.08110	7750	0.07949
chr1	151000000	152000000	0.5559	5727	0.08593	10549	0.06989	5163	0.09788	6421	0.08397	7431	0.07343
chr1	152000000	153000000	0.8171	7060	0.09655	12674	0.09653	7055	0.11682	7469	0.10621	9239	0.09214
chr1	153000000	154000000	1.0237	6877	0.10330	12389	0.08491	6125	0.11280	7102	0.10270	9367	0.08105
chr1	154000000	155000000	0.9132	5687	0.11391	10534	0.07585	5175	0.09860	6234	0.09980	7480	0.08235
chr1	155000000	156000000	1.1064	4797	0.06752	9227	0.06149	4879	0.04849	5483	0.06000	6621	0.05045
chr1	156000000	157000000	1.0306	5828	0.09413	10904	0.07460	5229	0.09655	6611	0.09010	7917	0.07539
chr1	157000000	158000000	1.4716	7356	0.12744	13595	0.09501	6429	0.13822	7811	0.12103	9747	0.10477
chr1	158000000	159000000	1.4864	8340	0.12854	14355	0.11004	6245	0.16545	8479	0.14257	10605	0.10452
chr1	159000000	160000000	1.8205	7306	0.09229	11694	0.07949	6100	0.10945	7724	0.09249	9044	0.07861
chr1	160000000	161000000	1.5960	7038	0.11371	12514	0.08619	6380	0.12327	7854	0.10653	9301	0.09114
chr1	161000000	162000000	1.5855	7368	0.09380	11451	0.07291	6087	0.12867	7748	0.09936	8812	0.08653
chr1	162000000	163000000	1.4949	7086	0.11366	12375	0.08771	6360	0.13543	7802	0.11067	9246	0.09523
chr1	163000000	164000000	1.8424	7504	0.12114	12932	0.08119	6645	0.11796	7846	0.11318	9551	0.09822
chr1	164000000	165000000	1.8716	7078	0.10576	12543	0.07576	6152	0.13214	7547	0.11000	9210	0.09107
chr1	165000000	166000000	1.5142	7476	0.11345	13254	0.08732	6480	0.10881	8207	0.10672	9420	0.09777
chr1	166000000	167000000	1.7178	7512	0.11741	12996	0.08758	6240	0.14639	7914	0.10850	9053	0.10286
chr1	167000000	168000000	1.6859	7216	0.10581	12363	0.08278	5986	0.10202	7482	0.09279	8988	0.08452
chr1	168000000	169000000	1.7952	7602	0.10933	12908	0.08697	6200	0.11864	7708	0.11276	9760	0.09219
chr1	169000000	170000000	1.1347	7626	0.12981	11946	0.08210	6418	0.11820	7446	0.13035	8764	0.11327
chr1	170000000	171000000	0.9155	6995	0.12861	12077	0.08132	5770	0.11565	7147	0.11876	8800	0.09921
chr1	171000000	172000000	0.7995	7123	0.12852	12766	0.09472	6387	0.12811	7303	0.12261	9053	0.10402
chr1	172000000	173000000	0.7939	5880	0.10970	11216	0.07407	5241	0.09227	6113	0.11154	7848	0.08402
chr1	173000000	174000000	0.4620	5772	0.09038	10234	0.08074	4835	0.11185	5954	0.08773	7267	0.08142
chr1	174000000	175000000	0.7593	6035	0.09018	10651	0.06319	5613	0.07389	6489	0.08713	7693	0.07583
chr1	175000000	176000000	0.7625	7415	0.11059	13008	0.07760	6089	0.11704	7488	0.10904	9291	0.08495
chr1	176000000	177000000	1.0947	6036	0.09678	11001	0.06690	4914	0.07700	6178	0.10005	7244	0.07991
chr1	177000000	178000000	0.7667	6637	0.10935	12297	0.07486	5862	0.11990	6876	0.11089	8702	0.08862
chr1	178000000	179000000	0.6989	6058	0.08919	11148	0.07283	5140	0.09593	6361	0.08114	8356	0.07159
chr1	179000000	180000000	0.6493	7501	0.14068	12550	0.09365	6473	0.14086	7830	0.12783	9567	0.11006
chr1	180000000	181000000	0.8740	6971	0.09212	11988	0.07933	5701	0.09953	7057	0.09091	9020	0.07570
chr1	181000000	182000000	1.0888	6806	0.10676	12437	0.08466	5277	0.11232	7052	0.10628	9021	0.08548
chr1	182000000	183000000	1.1321	6708	0.09578	11985	0.07950	5334	0.13060	6865	0.10796	9075	0.08041
chr1	183000000	184000000	0.9162	6722	0.13057	11549	0.09565	6158	0.14092	6942	0.13484	8699	0.11132
chr1	184000000	185000000	0.8027	6846	0.09207	11259	0.07687	5732	0.10758	6888	0.09090	8686	0.07782
chr1	185000000	186000000	0.6761	7143	0.07059	11874	0.07745	5783	0.08875	7046	0.08042	8500	0.06381
chr1	186000000	187000000	0.7141	6621	0.09657	11090	0.07579	6032	0.09330	6825	0.09602	8677	0.07673
chr1	187000000	188000000	0.7209	7463	0.12659	13105	0.08564	6798	0.12842	8022	0.12157	9477	0.10699
chr1	188000000	189000000	0.6495	8145	0.13383	14292	0.10107	6879	0.15911	8772	0.12440	10922	0.10280
chr1	189000000	190000000	0.4482	8028	0.11098	14056	0.09952	6319	0.14054	7977	0.12201	10949	0.08832
chr1	190000000	191000000	0.3224	6936	0.12477	12613	0.07933	6480	0.13923	7698	0.11921	8870	0.10003
chr1	191000000	192000000	0.5319	6272	0.11835	11133	0.07157	5978	0.12133	7168	0.10646	8382	0.09033
chr1	192000000	193000000	0.6596	6579	0.10567	11752	0.08368	5916	0.11009	6653	0.10488	8592	0.08672
chr1	193000000	194000000	0.6772	6625	0.10995	11555	0.07764	5645	0.09366	7383	0.08779	8221	0.08940
chr1	194000000	195000000	0.5576	7728	0.10366	13549	0.08953	6881	0.11472	8577	0.10557	9703	0.09713
chr1	195000000	196000000	0.5194	7067	0.15363	12837	0.09422	6215	0.13762	7752	0.13703	8961	0.12044
chr1	196000000	197000000	0.5486	6581	0.08005	11517	0.06845	5406	0.08130	6915	0.07757	8674	0.06072
chr1	197000000	198000000	0.4800	5367	0.08896	10868	0.06393	4813	0.07323	5550	0.07865	7711	0.06300
chr1	198000000	199000000	0.5548	6800	0.08484	11180	0.07087	5629	0.11322	6644	0.10425	8027	0.08729
chr1	199000000	200000000	0.7506	6822	0.11405	11898	0.07998	5791	0.11220	6932	0.09584	8782	0.09226
chr1	200000000	201000000	1.4170	6915	0.11908	11833	0.08211	5736	0.14346	7311	0.11922	8522	0.10317
chr1	201000000	202000000	1.6240	7698	0.11149	13224	0.08225	6665	0.12249	8261	0.10319	9585	0.09380
chr1	202000000	203000000	2.1244	6242	0.10822	11125	0.07161	5801	0.12121	6862	0.10084	7536	0.09527
chr1	203000000	204000000	1.8719	7191	0.10329	12745	0.08241	6891	0.12419	7640	0.11108	9339	0.08943
chr1	204000000	205000000	2.1233	7321	0.09638	12412	0.08636	6278	0.12583	7491	0.09858	9057	0.08996
chr1	205000000	206000000	1.6817	7157	0.11478	12239	0.08173	6122	0.10849	7620	0.10843	9007	0.09353
chr1	206000000	207000000	1.3694	6154	0.08036	11296	0.07475	5240	0.08462	6672	0.07591	7929	0.06912
chr1	207000000	208000000	1.3972	6630	0.10641	10719	0.08601	5264	0.10423	6598	0.09997	8160	0.08706
chr1	208000000	209000000	1.4707	7391	0.09320	12785	0.07378	6494	0.13398	7928	0.10190	9111	0.08988
chr1	209000000	210000000	1.5639	6898	0.10187	12504	0.07596	6304	0.12216	7947	0.10167	8764	0.09056
chr1	210000000	211000000	1.0525	7421	0.11483	12777	0.07742	6215	0.13183	7774	0.11225	9000	0.10390
chr1	211000000	212000000	0.8884	7020	0.10372	12754	0.06938	6190	0.10132	7775	0.09989	8715	0.08597
chr1	212000000	213000000	0.9712	7269	0.11959	12116	0.08208	6336	0.12630	7672	0.10851	8739	0.10049
chr1	213000000	214000000	1.2123	6466	0.07975	11513	0.06681	5541	0.09290	6861	0.08044	7979	0.07349
chr1	214000000	215000000	1.1283	7054	0.10626	12372	0.07997	5814	0.12132	7514	0.10880	8783	0.09206
chr1	215000000	216000000	1.3612	6818	0.09455	11253	0.07826	5633	0.11262	7401	0.09918	8234	0.07668
chr1	216000000	217000000	1.2987	6956	0.11206	12916	0.07367	5699	0.11211	7285	0.10344	8859	0.08864
chr1	217000000	218000000	1.4971	7982	0.11517	13264	0.08485	6298	0.11557	8047	0.11021	9522	0.09652
chr1	218000000	219000000	1.0625	7283	0.11386	12710	0.07646	6324	0.12805	7521	0.11964	8876	0.10015
chr1	219000000	220000000	0.8946	6788	0.13076	12071	0.08833	5814	0.14141	7439	0.12371	8590	0.10852
chr1	220000000	221000000	0.7016	6614	0.08415	11585	0.07280	6072	0.10947	7259	0.09368	8486	0.07346
chr1	221000000	222000000	0.7258	6846	0.11961	12153	0.08196	6397	0.12977	7796	0.10689	8470	0.09924
chr1	222000000	223000000	0.8735	6235	0.11836	11238	0.08110	5721	0.12576	7066	0.10744	8301	0.09120
chr1	223000000	224000000	0.8069	7453	0.10509	12908	0.07878	6627	0.12271	7537	0.10574	9326	0.08593
chr1	224000000	225000000	0.7881	7316	0.08757	11842	0.08921	6438	0.10087	7658	0.09052	8768	0.08344
chr1	225000000	226000000	0.6731	6747	0.09405	11715	0.07692	6439	0.12334	7799	0.09937	8751	0.08772
chr1	226000000	227000000	0.6145	6297	0.10639	10881	0.07442	6024	0.11593	7460	0.09815	8234	0.08603
chr1	227000000	228000000	0.6797	7879	0.12562	12553	0.09314	7056	0.14337	8539	0.11812	9786	0.10736
chr1	228000000	229000000	0.8151	6403	0.09387	11154	0.07636	6116	0.10830	7331	0.07903	8388	0.07918
chr1	229000000	230000000	1.3153	6571	0.09920	12773	0.08547	5799	0.10981	7426	0.08854	8713	0.08433
chr1	230000000	231000000	1.4560	7926	0.12106	13489	0.08851	6975	0.14303	8831	0.11881	9728	0.10617
chr1	231000000	232000000	1.6788	6869	0.11060	12494	0.08209	5992	0.12499	7249	0.10839	8528	0.09362
chr1	232000000	233000000	1.7267	8013	0.10829	13291	0.09132	6850	0.13367	8569	0.10862	9784	0.09837
chr1	233000000	234000000	2.2686	8139	0.11974	13119	0.08990	6887	0.14417	8572	0.11799	10313	0.09529
chr1	234000000	235000000	2.0856	7409	0.11954	13058	0.08587	6670	0.10353	8473	0.10889	9660	0.09867
chr1	235000000	236000000	2.2678	6269	0.12240	12737	0.08115	5820	0.09272	7215	0.10163	9361	0.08399
chr1	236000000	237000000	2.3241	8330	0.14303	14364	0.10765	7845	0.16456	9245	0.13999	11034	0.12170
chr1	237000000	238000000	2.3824	7925	0.12805	13273	0.09763	6845	0.14658	8718	0.11928	10371	0.10196
chr1	238000000	239000000	2.1614	8430	0.11719	13636	0.10200	7480	0.10915	9075	0.10574	10742	0.09983
chr1	239000000	240000000	2.2371	7413	0.10967	12652	0.08832	6047	0.12293	8034	0.10614	9297	0.09240
chr1	240000000	241000000	2.8286	7947	0.13322	14044	0.09537	7148	0.13361	8590	0.12264	10128	0.10455
chr1	241000000	242000000	2.8359	7755	0.13357	13715	0.09339	7067	0.13117	8455	0.11827	10101	0.10524
chr1	242000000	243000000	1.9088	8194	0.14233	14761	0.09843	7972	0.13940	9289	0.13076	11127	0.10945
chr1	243000000	244000000	2.2121	5392	0.08362	10740	0.06436	4922	0.09087	5999	0.08227	7265	0.06830
chr1	244000000	245000000	2.5665	7698	0.10353	14019	0.08991	6583	0.11702	8113	0.10430	10092	0.08483
chr1	245000000	246000000	2.6753	8856	0.11256	14838	0.09607	7567	0.13802	9113	0.11971	11067	0.10341
chr1	246000000	247000000	1.6992	9036	0.12219	14737	0.10008	7838	0.14351	9338	0.13834	11501	0.10821
chr1	247000000	248000000	0.9200	8823	0.12549	15369	0.11445	7664	0.11195	9197	0.12046	12016	0.09739
chr1	248000000	249000000	0.9279	8715	0.09098	15785	0.10173	6808	0.14528	8799	0.09139	11703	0.07530
chr2	0	1000000	1.3323	8813	0.11443	15127	0.08879	7613	0.11796	9053	0.10885	11001	0.09636
chr2	1000000	2000000	1.7157	10878	0.10897	17205	0.09423	9416	0.12689	10780	0.12187	12586	0.09806
chr2	2000000	3000000	1.9945	9227	0.08927	15489	0.07272	7643	0.10308	9450	0.09018	11023	0.07601
chr2	3000000	4000000	2.4298	9616	0.11313	15883	0.08560	8535	0.12207	9790	0.10660	11331	0.09133
chr2	4000000	5000000	2.4433	8738	0.10909	14371	0.08700	6958	0.11473	8749	0.11026	10488	0.08824
chr2	5000000	6000000	2.6193	8259	0.10735	14914	0.08146	6943	0.12502	8421	0.11104	10461	0.08873
chr2	6000000	7000000	2.5962	7583	0.11923	14239	0.09155	6703	0.12130	8106	0.11445	10355	0.09207
chr2	7000000	8000000	2.9730	6993	0.11917	13330	0.08738	6630	0.11839	7877	0.11560	9660	0.08902
chr2	8000000	9000000	2.6965	6755	0.08956	12456	0.07686	5960	0.09422	7539	0.08283	9185	0.06836
chr2	9000000	10000000	2.7960	7665	0.12410	13277	0.08855	6565	0.10207	7951	0.11706	9745	0.09304
