chrom	window_start	population	Hbar	n_blocks	mean_distinct_hap	mean_n_hap	cMperMb
chr1	8000000	EUR	0.044790	4	178.8	400	1.8165
chr1	8000000	SAS	0.047249	4	196.8	400	1.8165
chr1	9000000	AFR	0.005689	3	265.0	400	1.7185
chr1	9000000	AMR	0.029231	3	221.0	400	1.7185
chr1	9000000	EAS	0.022761	3	225.7	400	1.7185
chr1	9000000	EUR	0.041558	3	213.0	400	1.7185
chr1	9000000	SAS	0.014023	3	245.0	400	1.7185
chr1	10000000	AFR	0.013687	4	228.5	400	1.9801
chr1	10000000	AMR	0.075962	4	185.5	400	1.9801
chr1	10000000	EAS	0.054922	4	180.8	400	1.9801
chr1	10000000	EUR	0.071469	4	167.2	400	1.9801
chr1	10000000	SAS	0.046491	4	191.0	400	1.9801
chr1	11000000	AFR	0.042014	4	232.2	400	1.9923
chr1	11000000	AMR	0.144402	4	153.5	400	1.9923
chr1	11000000	EAS	0.043916	4	184.0	400	1.9923
chr1	11000000	EUR	0.113606	4	145.5	400	1.9923
chr1	11000000	SAS	0.086425	4	197.0	400	1.9923
chr1	12000000	AFR	0.005125	4	284.5	400	1.8808
chr1	12000000	AMR	0.029026	4	184.0	400	1.8808
chr1	12000000	EAS	0.015874	4	230.8	400	1.8808
chr1	12000000	EUR	0.015909	4	214.0	400	1.8808
chr1	12000000	SAS	0.057249	4	170.8	400	1.8808
chr1	13000000	AFR	0.003208	5	293.6	400	2.3007
chr1	13000000	AMR	0.009383	5	228.0	400	2.3007
chr1	13000000	EAS	0.010424	5	261.8	400	2.3007
chr1	13000000	EUR	0.010782	5	216.4	400	2.3007
chr1	13000000	SAS	0.013862	5	211.0	400	2.3007
chr1	14000000	AFR	0.002672	4	309.8	400	2.3422
chr1	14000000	AMR	0.004793	4	254.8	400	2.3422
chr1	14000000	EAS	0.002807	4	301.0	400	2.3422
chr1	14000000	EUR	0.004530	4	271.5	400	2.3422
chr1	14000000	SAS	0.002754	4	295.5	400	2.3422
chr1	15000000	AFR	0.010260	4	231.2	400	1.9596
chr1	15000000	AMR	0.041190	4	152.8	400	1.9596
chr1	15000000	EAS	0.113559	4	151.0	400	1.9596
chr1	15000000	EUR	0.060855	4	144.5	400	1.9596
chr1	15000000	SAS	0.033957	4	194.5	400	1.9596
chr1	16000000	AFR	0.003875	4	277.0	400	1.7975
chr1	16000000	AMR	0.024524	4	214.2	400	1.7975
chr1	16000000	EAS	0.064483	4	190.5	400	1.7975
chr1	16000000	EUR	0.022954	4	195.8	400	1.7975
chr1	16000000	SAS	0.014947	4	235.2	400	1.7975
chr1	17000000	AFR	0.006353	4	269.0	400	2.2922
chr1	17000000	AMR	0.023521	4	189.8	400	2.2922
chr1	17000000	EAS	0.020952	4	216.5	400	2.2922
chr1	17000000	EUR	0.016736	4	202.0	400	2.2922
chr1	17000000	SAS	0.018252	4	202.2	400	2.2922
chr1	18000000	AFR	0.004012	6	289.5	400	2.6340
chr1	18000000	AMR	0.021000	6	228.2	400	2.6340
chr1	18000000	EAS	0.022356	6	259.3	400	2.6340
chr1	18000000	EUR	0.025100	6	216.7	400	2.6340
chr1	18000000	SAS	0.014382	6	237.5	400	2.6340
chr1	19000000	AFR	0.009073	4	222.2	400	2.3132
chr1	19000000	AMR	0.020056	4	174.2	400	2.3132
chr1	19000000	EAS	0.025489	4	192.5	400	2.3132
chr1	19000000	EUR	0.017500	4	165.5	400	2.3132
chr1	19000000	SAS	0.013932	4	200.0	400	2.3132
chr1	20000000	AFR	0.016140	3	251.7	400	1.4207
chr1	20000000	AMR	0.103743	3	187.0	400	1.4207
chr1	20000000	EAS	0.072080	3	206.0	400	1.4207
chr1	20000000	EUR	0.056562	3	187.0	400	1.4207
chr1	20000000	SAS	0.060622	3	218.0	400	1.4207
chr1	21000000	AFR	0.005000	3	262.3	400	1.5188
chr1	21000000	AMR	0.012164	3	212.7	400	1.5188
chr1	21000000	EAS	0.009879	3	235.7	400	1.5188
chr1	21000000	EUR	0.010597	3	205.0	400	1.5188
chr1	21000000	SAS	0.006959	3	256.0	400	1.5188
chr1	22000000	AFR	0.007322	3	265.7	400	1.2338
chr1	22000000	AMR	0.019666	3	224.7	400	1.2338
chr1	22000000	EAS	0.032824	3	260.0	400	1.2338
chr1	22000000	EUR	0.026458	3	222.7	400	1.2338
chr1	22000000	SAS	0.015226	3	261.3	400	1.2338
chr1	23000000	AFR	0.007285	3	240.7	400	1.5306
chr1	23000000	AMR	0.023037	3	174.3	400	1.5306
chr1	23000000	EAS	0.028642	3	218.3	400	1.5306
chr1	23000000	EUR	0.024561	3	182.0	400	1.5306
chr1	23000000	SAS	0.013981	3	211.7	400	1.5306
chr1	24000000	AFR	0.002018	2	318.0	400	1.2448
chr1	24000000	AMR	0.006986	2	255.0	400	1.2448
chr1	24000000	EAS	0.002794	2	303.0	400	1.2448
chr1	24000000	EUR	0.004549	2	256.0	400	1.2448
chr1	24000000	SAS	0.003089	2	294.0	400	1.2448
chr1	25000000	AFR	0.003279	3	279.0	400	1.2250
chr1	25000000	AMR	0.017226	3	181.0	400	1.2250
chr1	25000000	EAS	0.027615	3	193.0	400	1.2250
chr1	25000000	EUR	0.021328	3	155.7	400	1.2250
chr1	25000000	SAS	0.016867	3	179.7	400	1.2250
chr1	26000000	AFR	0.005476	1	241.0	400	0.8210
chr1	26000000	AMR	0.009211	1	225.0	400	0.8210
chr1	26000000	EAS	0.059624	1	136.0	400	0.8210
chr1	26000000	EUR	0.016817	1	144.0	400	0.8210
chr1	26000000	SAS	0.018258	1	202.0	400	0.8210
chr1	27000000	AFR	0.006165	2	249.5	400	0.6000
chr1	27000000	AMR	0.037381	2	148.5	400	0.6000
chr1	27000000	EAS	0.023490	2	140.0	400	0.6000
chr1	27000000	EUR	0.021855	2	150.0	400	0.6000
chr1	27000000	SAS	0.037500	2	151.0	400	0.6000
chr1	28000000	AFR	0.008045	1	220.0	400	0.9011
chr1	28000000	AMR	0.022870	1	137.0	400	0.9011
chr1	28000000	EAS	0.070940	1	93.0	400	0.9011
chr1	28000000	EUR	0.034649	1	132.0	400	0.9011
chr1	28000000	SAS	0.049712	1	119.0	400	0.9011
chr1	29000000	AFR	0.005561	4	282.2	400	1.6344
chr1	29000000	AMR	0.016419	4	239.8	400	1.6344
chr1	29000000	EAS	0.012115	4	259.0	400	1.6344
chr1	29000000	EUR	0.015752	4	242.0	400	1.6344
chr1	29000000	SAS	0.011237	4	262.8	400	1.6344
chr1	30000000	AFR	0.003513	3	288.3	400	1.7548
chr1	30000000	AMR	0.007761	3	245.3	400	1.7548
chr1	30000000	EAS	0.009140	3	246.7	400	1.7548
chr1	30000000	EUR	0.009566	3	214.0	400	1.7548
chr1	30000000	SAS	0.006366	3	248.3	400	1.7548
chr1	31000000	AFR	0.011533	3	209.0	400	1.3527
chr1	31000000	AMR	0.046876	3	148.0	400	1.3527
chr1	31000000	EAS	0.031161	3	166.3	400	1.3527
chr1	31000000	EUR	0.114653	3	121.3	400	1.3527
chr1	31000000	SAS	0.049816	3	166.7	400	1.3527
chr1	32000000	AFR	0.028390	2	169.0	400	0.9711
chr1	32000000	AMR	0.059179	2	105.0	400	0.9711
chr1	32000000	EAS	0.073490	2	108.5	400	0.9711
chr1	32000000	EUR	0.063966	2	94.5	400	0.9711
chr1	32000000	SAS	0.193628	2	70.5	400	0.9711
chr1	33000000	AFR	0.006328	2	259.0	400	1.3451
chr1	33000000	AMR	0.013947	2	220.5	400	1.3451
chr1	33000000	EAS	0.004662	2	277.0	400	1.3451
chr1	33000000	EUR	0.003233	2	276.5	400	1.3451
chr1	33000000	SAS	0.006353	2	264.0	400	1.3451
chr1	34000000	AFR	0.002327	3	316.7	400	1.2526
chr1	34000000	AMR	0.009720	3	249.3	400	1.2526
chr1	34000000	EAS	0.006750	3	272.0	400	1.2526
chr1	34000000	EUR	0.008822	3	268.3	400	1.2526
chr1	34000000	SAS	0.009779	3	257.7	400	1.2526
chr1	35000000	AFR	0.039693	2	102.5	400	1.1879
chr1	35000000	AMR	0.143947	2	65.5	400	1.1879
chr1	35000000	EAS	0.106736	2	71.5	400	1.1879
chr1	35000000	EUR	0.166980	2	52.5	400	1.1879
chr1	35000000	SAS	0.215508	2	54.0	400	1.1879
chr1	36000000	AFR	0.001936	2	330.0	400	0.8716
chr1	36000000	AMR	0.005670	2	244.0	400	0.8716
chr1	36000000	EAS	0.003296	2	292.5	400	0.8716
chr1	36000000	EUR	0.011003	2	218.0	400	0.8716
chr1	36000000	SAS	0.003264	2	282.5	400	0.8716
chr1	37000000	AFR	0.008568	4	234.2	400	1.7384
chr1	37000000	AMR	0.025564	4	175.0	400	1.7384
chr1	37000000	EAS	0.041394	4	190.5	400	1.7384
chr1	37000000	EUR	0.021382	4	182.0	400	1.7384
chr1	37000000	SAS	0.018308	4	193.8	400	1.7384
chr1	38000000	AFR	0.004599	3	260.3	400	1.5671
chr1	38000000	AMR	0.013396	3	212.0	400	1.5671
chr1	38000000	EAS	0.018463	3	186.0	400	1.5671
chr1	38000000	EUR	0.009541	3	224.7	400	1.5671
chr1	38000000	SAS	0.016713	3	226.3	400	1.5671
chr1	39000000	AFR	0.015088	3	213.3	400	1.6099
chr1	39000000	AMR	0.046495	3	142.0	400	1.6099
chr1	39000000	EAS	0.025309	3	174.7	400	1.6099
chr1	39000000	EUR	0.025530	3	168.7	400	1.6099
chr1	39000000	SAS	0.056404	3	155.7	400	1.6099
chr1	40000000	AFR	0.005363	2	227.5	400	0.9794
chr1	40000000	AMR	0.014580	2	205.5	400	0.9794
chr1	40000000	EAS	0.006692	2	232.5	400	0.9794
chr1	40000000	EUR	0.006617	2	225.0	400	0.9794
chr1	40000000	SAS	0.005313	2	243.5	400	0.9794
chr1	41000000	AFR	0.003509	2	267.5	400	0.8561
chr1	41000000	AMR	0.020921	2	215.5	400	0.8561
chr1	41000000	EAS	0.009486	2	249.5	400	0.8561
chr1	41000000	EUR	0.022531	2	217.5	400	0.8561
chr1	41000000	SAS	0.007005	2	242.0	400	0.8561
chr1	42000000	AFR	0.005990	1	271.0	400	0.7500
chr1	42000000	AMR	0.003709	1	266.0	400	0.7500
chr1	42000000	EAS	0.001591	1	323.0	400	0.7500
chr1	42000000	EUR	0.007506	1	235.0	400	0.7500
chr1	42000000	SAS	0.002256	1	307.0	400	0.7500
chr1	43000000	AFR	0.009236	2	255.0	400	0.8310
chr1	43000000	AMR	0.016190	2	225.5	400	0.8310
chr1	43000000	EAS	0.008816	2	229.5	400	0.8310
chr1	43000000	EUR	0.019561	2	189.0	400	0.8310
chr1	43000000	SAS	0.013803	2	227.0	400	0.8310
chr1	44000000	AFR	0.006479	1	247.0	400	0.6688
chr1	44000000	AMR	0.027381	1	123.0	400	0.6688
chr1	44000000	EAS	0.031591	1	134.0	400	0.6688
chr1	44000000	EUR	0.023020	1	145.0	400	0.6688
chr1	44000000	SAS	0.028358	1	144.0	400	0.6688
chr1	45000000	AFR	0.045050	1	106.0	400	0.6465
chr1	45000000	AMR	0.070927	1	81.0	400	0.6465
chr1	45000000	EAS	0.082957	1	76.0	400	0.6465
chr1	45000000	EUR	0.111203	1	68.0	400	0.6465
chr1	45000000	SAS	0.105201	1	75.0	400	0.6465
chr1	46000000	AFR	0.003208	2	284.0	400	0.6353
chr1	46000000	AMR	0.018396	2	193.0	400	0.6353
chr1	46000000	EAS	0.003916	2	279.5	400	0.6353
chr1	46000000	EUR	0.022813	2	206.5	400	0.6353
chr1	46000000	SAS	0.007444	2	243.5	400	0.6353
chr1	47000000	AFR	0.001642	1	316.0	400	0.9009
chr1	47000000	AMR	0.002218	1	298.0	400	0.9009
chr1	47000000	EAS	0.000739	1	352.0	400	0.9009
chr1	47000000	EUR	0.003158	1	298.0	400	0.9009
chr1	47000000	SAS	0.001028	1	333.0	400	0.9009
chr1	48000000	AFR	0.015169	2	215.5	400	0.6780
chr1	48000000	AMR	0.068753	2	162.0	400	0.6780
chr1	48000000	EAS	0.089524	2	175.5	400	0.6780
chr1	48000000	EUR	0.060664	2	172.5	400	0.6780
chr1	48000000	SAS	0.051510	2	162.5	400	0.6780
chr1	49000000	AFR	0.010777	1	212.0	400	0.4135
chr1	49000000	AMR	0.031566	1	179.0	400	0.4135
chr1	49000000	EAS	0.045702	1	127.0	400	0.4135
chr1	49000000	EUR	0.049599	1	124.0	400	0.4135
chr1	49000000	SAS	0.016241	1	182.0	400	0.4135
chr1	51000000	AFR	0.019336	1	146.0	400	0.3145
chr1	51000000	AMR	0.101353	1	80.0	400	0.3145
chr1	51000000	EAS	0.124549	1	53.0	400	0.3145
chr1	51000000	EUR	0.113371	1	67.0	400	0.3145
chr1	51000000	SAS	0.198922	1	49.0	400	0.3145
chr1	52000000	AFR	0.005702	1	238.0	400	0.7570
chr1	52000000	AMR	0.022080	1	174.0	400	0.7570
chr1	52000000	EAS	0.013371	1	176.0	400	0.7570
chr1	52000000	EUR	0.012519	1	197.0	400	0.7570
chr1	52000000	SAS	0.011667	1	192.0	400	0.7570
chr1	53000000	AFR	0.004394	3	270.3	400	1.3320
chr1	53000000	AMR	0.025046	3	196.0	400	1.3320
chr1	53000000	EAS	0.006429	3	241.0	400	1.3320
chr1	53000000	EUR	0.011746	3	215.0	400	1.3320
chr1	53000000	SAS	0.006725	3	244.0	400	1.3320
chr1	54000000	AFR	0.002431	3	318.0	400	1.5270
chr1	54000000	AMR	0.007139	3	243.7	400	1.5270
chr1	54000000	EAS	0.001625	3	323.7	400	1.5270
chr1	54000000	EUR	0.002828	3	299.7	400	1.5270
chr1	54000000	SAS	0.003843	3	286.7	400	1.5270
chr1	55000000	AFR	0.009273	3	221.7	400	1.6213
chr1	55000000	AMR	0.043952	3	140.7	400	1.6213
chr1	55000000	EAS	0.026128	3	158.7	400	1.6213
chr1	55000000	EUR	0.032030	3	141.0	400	1.6213
chr1	55000000	SAS	0.019039	3	163.7	400	1.6213
chr1	56000000	AFR	0.001821	3	317.3	400	1.3764
chr1	56000000	AMR	0.007122	3	239.7	400	1.3764
chr1	56000000	EAS	0.005994	3	262.3	400	1.3764
chr1	56000000	EUR	0.003496	3	272.0	400	1.3764
chr1	56000000	SAS	0.002594	3	287.7	400	1.3764
chr1	57000000	AFR	0.003354	3	283.7	400	1.5445
chr1	57000000	AMR	0.010526	3	211.0	400	1.5445
chr1	57000000	EAS	0.011312	3	205.0	400	1.5445
chr1	57000000	EUR	0.011546	3	206.0	400	1.5445
chr1	57000000	SAS	0.014891	3	203.7	400	1.5445
chr1	58000000	AFR	0.004415	3	274.3	400	1.4708
chr1	58000000	AMR	0.019950	3	185.7	400	1.4708
chr1	58000000	EAS	0.010831	3	219.7	400	1.4708
chr1	58000000	EUR	0.007005	3	220.0	400	1.4708
chr1	58000000	SAS	0.015514	3	238.3	400	1.4708
chr1	59000000	AFR	0.010338	3	198.7	400	1.3855
chr1	59000000	AMR	0.023008	3	160.7	400	1.3855
chr1	59000000	EAS	0.014461	3	178.3	400	1.3855
chr1	59000000	EUR	0.023246	3	143.3	400	1.3855
chr1	59000000	SAS	0.020998	3	161.7	400	1.3855
chr1	60000000	AFR	0.008475	3	217.3	400	1.5508
chr1	60000000	AMR	0.014474	3	177.3	400	1.5508
chr1	60000000	EAS	0.018567	3	220.3	400	1.5508
chr1	60000000	EUR	0.010510	3	195.7	400	1.5508
chr1	60000000	SAS	0.012089	3	201.7	400	1.5508
chr1	61000000	AFR	0.002431	3	306.0	400	1.4493
chr1	61000000	AMR	0.010363	3	248.3	400	1.4493
chr1	61000000	EAS	0.015794	3	275.7	400	1.4493
chr1	61000000	EUR	0.004933	3	284.3	400	1.4493
chr1	61000000	SAS	0.003743	3	290.7	400	1.4493
chr1	62000000	AFR	0.017277	3	233.7	400	1.6349
chr1	62000000	AMR	0.047870	3	190.3	400	1.6349
chr1	62000000	EAS	0.057089	3	214.7	400	1.6349
chr1	62000000	EUR	0.029010	3	187.3	400	1.6349
chr1	62000000	SAS	0.041475	3	227.0	400	1.6349
chr1	63000000	AFR	0.006667	3	253.7	400	1.4032
chr1	63000000	AMR	0.020789	3	182.0	400	1.4032
chr1	63000000	EAS	0.020121	3	196.3	400	1.4032
chr1	63000000	EUR	0.007953	3	207.0	400	1.4032
chr1	63000000	SAS	0.011988	3	210.7	400	1.4032
chr1	64000000	AFR	0.006328	2	240.0	400	1.2820
chr1	64000000	AMR	0.025852	2	191.0	400	1.2820
chr1	64000000	EAS	0.009649	2	220.5	400	1.2820
chr1	64000000	EUR	0.046404	2	147.0	400	1.2820
chr1	64000000	SAS	0.021573	2	217.5	400	1.2820
chr1	65000000	AFR	0.006247	2	281.0	400	1.0776
chr1	65000000	AMR	0.009480	2	218.5	400	1.0776
chr1	65000000	EAS	0.009580	2	223.0	400	1.0776
chr1	65000000	EUR	0.019004	2	196.5	400	1.0776
chr1	65000000	SAS	0.007105	2	233.5	400	1.0776
chr1	66000000	AFR	0.004119	3	261.0	400	1.0302
chr1	66000000	AMR	0.011867	3	204.7	400	1.0302
chr1	66000000	EAS	0.015414	3	244.3	400	1.0302
chr1	66000000	EUR	0.009307	3	222.7	400	1.0302
chr1	66000000	SAS	0.007406	3	244.3	400	1.0302
chr1	67000000	AFR	0.002049	2	316.5	400	1.0418
chr1	67000000	AMR	0.002274	2	305.5	400	1.0418
chr1	67000000	EAS	0.002400	2	323.0	400	1.0418
chr1	67000000	EUR	0.005508	2	256.0	400	1.0418
chr1	67000000	SAS	0.004774	2	292.0	400	1.0418
chr1	68000000	AFR	0.009837	2	229.5	400	0.9790
chr1	68000000	AMR	0.031316	2	155.0	400	0.9790
chr1	68000000	EAS	0.084217	2	170.0	400	0.9790
chr1	68000000	EUR	0.038346	2	146.0	400	0.9790
chr1	68000000	SAS	0.038690	2	157.0	400	0.9790
chr1	69000000	AFR	0.006065	1	233.0	400	0.8841
chr1	69000000	AMR	0.010226	1	185.0	400	0.8841
chr1	69000000	EAS	0.005038	1	249.0	400	0.8841
chr1	69000000	EUR	0.015226	1	151.0	400	0.8841
chr1	69000000	SAS	0.008120	1	206.0	400	0.8841
chr1	70000000	AFR	0.002124	2	298.0	400	0.6483
chr1	70000000	AMR	0.010201	2	220.0	400	0.6483
chr1	70000000	EAS	0.003640	2	287.0	400	0.6483
chr1	70000000	EUR	0.008145	2	235.5	400	0.6483
chr1	70000000	SAS	0.007312	2	274.5	400	0.6483
chr1	71000000	AFR	0.004411	1	297.0	400	0.5126
chr1	71000000	AMR	0.008972	1	225.0	400	0.5126
chr1	71000000	EAS	0.026404	1	154.0	400	0.5126
chr1	71000000	EUR	0.008246	1	224.0	400	0.5126
chr1	71000000	SAS	0.007907	1	240.0	400	0.5126
chr1	73000000	AFR	0.003459	1	287.0	400	0.5631
chr1	73000000	AMR	0.009950	1	183.0	400	0.5631
chr1	73000000	EAS	0.071604	1	120.0	400	0.5631
chr1	73000000	EUR	0.011053	1	188.0	400	0.5631
chr1	73000000	SAS	0.043246	1	165.0	400	0.5631
chr1	74000000	AFR	0.007425	2	237.5	400	0.5509
chr1	74000000	AMR	0.015056	2	217.0	400	0.5509
chr1	74000000	EAS	0.129605	2	158.5	400	0.5509
chr1	74000000	EUR	0.019048	2	179.5	400	0.5509
chr1	74000000	SAS	0.018102	2	210.5	400	0.5509
chr1	75000000	AFR	0.018521	1	146.0	400	0.9500
chr1	75000000	AMR	0.036779	1	102.0	400	0.9500
chr1	75000000	EAS	0.342030	1	70.0	400	0.9500
chr1	75000000	EUR	0.036967	1	100.0	400	0.9500
chr1	75000000	SAS	0.053083	1	115.0	400	0.9500
chr1	76000000	AFR	0.001886	2	323.0	400	0.8358
chr1	76000000	AMR	0.002920	2	301.0	400	0.8358
chr1	76000000	EAS	0.002444	2	304.0	400	0.8358
chr1	76000000	EUR	0.007393	2	260.5	400	0.8358
chr1	76000000	SAS	0.001103	2	344.5	400	0.8358
chr1	77000000	AFR	0.009693	2	202.5	400	0.9440
chr1	77000000	AMR	0.018910	2	173.0	400	0.9440
chr1	77000000	EAS	0.030251	2	170.5	400	0.9440
chr1	77000000	EUR	0.020150	2	160.0	400	0.9440
chr1	77000000	SAS	0.010846	2	189.0	400	0.9440
chr1	78000000	AFR	0.002707	1	302.0	400	0.6224
chr1	78000000	AMR	0.002682	1	312.0	400	0.6224
chr1	78000000	EAS	0.002168	1	293.0	400	0.6224
chr1	78000000	EUR	0.002657	1	296.0	400	0.6224
chr1	78000000	SAS	0.000501	1	366.0	400	0.6224
chr1	79000000	AFR	0.003383	2	280.0	400	0.7282
chr1	79000000	AMR	0.025094	2	164.5	400	0.7282
chr1	79000000	EAS	0.011604	2	199.0	400	0.7282
chr1	79000000	EUR	0.022024	2	182.0	400	0.7282
chr1	79000000	SAS	0.009355	2	212.0	400	0.7282
chr1	80000000	AFR	0.002425	2	306.0	400	1.0026
chr1	80000000	AMR	0.008703	2	234.0	400	1.0026
chr1	80000000	EAS	0.011046	2	233.5	400	1.0026
chr1	80000000	EUR	0.007337	2	237.5	400	1.0026
chr1	80000000	SAS	0.006873	2	264.0	400	1.0026
chr1	81000000	AFR	0.002650	2	304.0	400	1.1225
chr1	81000000	AMR	0.009624	2	223.0	400	1.1225
chr1	81000000	EAS	0.009756	2	254.0	400	1.1225
chr1	81000000	EUR	0.004424	2	266.5	400	1.1225
chr1	81000000	SAS	0.006053	2	262.5	400	1.1225
chr1	82000000	AFR	0.005439	2	254.5	400	1.0470
chr1	82000000	AMR	0.008741	2	219.5	400	1.0470
chr1	82000000	EAS	0.007312	2	243.5	400	1.0470
chr1	82000000	EUR	0.007531	2	222.5	400	1.0470
chr1	82000000	SAS	0.005132	2	245.0	400	1.0470
chr1	83000000	AFR	0.005226	2	244.0	400	1.0670
chr1	83000000	AMR	0.024035	2	160.5	400	1.0670
chr1	83000000	EAS	0.030269	2	167.0	400	1.0670
chr1	83000000	EUR	0.020238	2	174.5	400	1.0670
chr1	83000000	SAS	0.008954	2	218.0	400	1.0670
chr1	84000000	AFR	0.001717	2	318.5	400	0.9955
chr1	84000000	AMR	0.004605	2	268.5	400	0.9955
chr1	84000000	EAS	0.007419	2	247.5	400	0.9955
chr1	84000000	EUR	0.003960	2	279.5	400	0.9955
chr1	84000000	SAS	0.002757	2	296.5	400	0.9955
chr1	85000000	AFR	0.003828	2	265.0	400	0.9392
chr1	85000000	AMR	0.007362	2	236.5	400	0.9392
chr1	85000000	EAS	0.009718	2	214.5	400	0.9392
chr1	85000000	EUR	0.012851	2	215.0	400	0.9392
chr1	85000000	SAS	0.008540	2	213.5	400	0.9392
chr1	86000000	AFR	0.030326	2	177.5	400	1.1630
chr1	86000000	AMR	0.101347	2	127.0	400	1.1630
chr1	86000000	EAS	0.127506	2	104.5	400	1.1630
chr1	86000000	EUR	0.038496	2	143.0	400	1.1630
chr1	86000000	SAS	0.050796	2	123.0	400	1.1630
chr1	87000000	AFR	0.002510	3	303.7	400	1.1014
chr1	87000000	AMR	0.005042	3	251.3	400	1.1014
chr1	87000000	EAS	0.004641	3	280.7	400	1.1014
chr1	87000000	EUR	0.005088	3	259.3	400	1.1014
chr1	87000000	SAS	0.005998	3	287.0	400	1.1014
chr1	88000000	AFR	0.015833	2	183.5	400	1.1864
chr1	88000000	AMR	0.038409	2	128.5	400	1.1864
chr1	88000000	EAS	0.020282	2	151.5	400	1.1864
chr1	88000000	EUR	0.041460	2	117.0	400	1.1864
chr1	88000000	SAS	0.063966	2	99.0	400	1.1864
chr1	89000000	AFR	0.002143	2	314.5	400	0.8099
chr1	89000000	AMR	0.010977	2	227.5	400	0.8099
chr1	89000000	EAS	0.005683	2	247.0	400	0.8099
chr1	89000000	EUR	0.008810	2	231.0	400	0.8099
chr1	89000000	SAS	0.005382	2	252.0	400	0.8099
chr1	90000000	AFR	0.006830	1	211.0	400	0.9359
chr1	90000000	AMR	0.009348	1	219.0	400	0.9359
chr1	90000000	EAS	0.007744	1	211.0	400	0.9359
chr1	90000000	EUR	0.012431	1	182.0	400	0.9359
chr1	90000000	SAS	0.006266	1	243.0	400	0.9359
chr1	91000000	AFR	0.002807	2	315.5	400	0.7342
chr1	91000000	AMR	0.003427	2	286.5	400	0.7342
chr1	91000000	EAS	0.008202	2	272.5	400	0.7342
chr1	91000000	EUR	0.007187	2	260.0	400	0.7342
chr1	91000000	SAS	0.004110	2	282.5	400	0.7342
chr1	92000000	AFR	0.008697	1	237.0	400	0.6004
chr1	92000000	AMR	0.137744	1	106.0	400	0.6004
chr1	92000000	EAS	0.056454	1	129.0	400	0.6004
chr1	92000000	EUR	0.021429	1	133.0	400	0.6004
chr1	92000000	SAS	0.073571	1	130.0	400	0.6004
chr1	93000000	AFR	0.004066	2	267.5	400	0.7533
chr1	93000000	AMR	0.032256	2	192.0	400	0.7533
chr1	93000000	EAS	0.029881	2	191.5	400	0.7533
chr1	93000000	EUR	0.033904	2	189.0	400	0.7533
chr1	93000000	SAS	0.027168	2	172.5	400	0.7533
chr1	94000000	AFR	0.000664	1	362.0	400	0.8765
chr1	94000000	AMR	0.001717	1	315.0	400	0.8765
chr1	94000000	EAS	0.002594	1	317.0	400	0.8765
chr1	94000000	EUR	0.001190	1	337.0	400	0.8765
